lr=0.01,batch_size=32
epoch 100, test accuracy: 0.8101434768101434
epoch 100, loss: 0.01478926558047533
epoch 105, test accuracy: 0.8121454788121455
epoch 105, loss: 0.0037365152966231108
epoch 110, test accuracy: 0.7937937937937938
epoch 110, loss: 0.3350830078125
epoch 115, test accuracy: 0.8168168168168168
epoch 115, loss: 0.0019392864778637886
epoch 120, test accuracy: 0.8178178178178178
epoch 120, loss: 0.0017565106973052025
epoch 125, test accuracy: 0.8138138138138138
epoch 125, loss: 0.00700670899823308
epoch 130, test accuracy: 0.8138138138138138
epoch 130, loss: 0.0001049903075909242
epoch 135, test accuracy: 0.8228228228228228
epoch 135, loss: 0.02829430066049099
epoch 140, test accuracy: 0.8144811478144811
epoch 140, loss: 0.00168630201369524
epoch 145, test accuracy: 0.8191524858191525
epoch 145, loss: 0.0005783935775980353
epoch 150, test accuracy: 0.8178178178178178
epoch 150, loss: 0.003817965043708682
epoch 155, test accuracy: 0.8234901568234901
epoch 155, loss: 0.004062704276293516
epoch 160, test accuracy: 0.8224891558224892
epoch 160, loss: 0.0008466983563266695
epoch 165, test accuracy: 0.8224891558224892
epoch 165, loss: 0.0002707359963096678
